iter	Passed	Remaining
384	5833	9317
385	5847	9300
386	5858	9278
387	5871	9260
388	5886	9245
389	5898	9226
390	5909	9204
391	5921	9184
392	5933	9164
393	5945	9145
394	5957	9125
395	5968	9102
396	5989	9097
397	6008	9088
398	6025	9075
399	6036	9054
400	6052	9040
401	6064	9021
402	6075	9000
403	6087	8980
404	6101	8963
405	6113	8944
406	6127	8927
407	6141	8910
408	6152	8889
409	6166	8873
410	6184	8862
411	6195	8842
412	6207	8822
413	6219	8803
414	6230	8783
415	6241	8762
416	6253	8742
417	6267	8726
418	6281	8710
419	6294	8692
420	6310	8679
421	6324	8662
422	6337	8645
423	6352	8630
424	6363	8609
425	6375	8590
426	6387	8571
427	6400	8553
428	6410	8532
429	6434	8529
430	6446	8510
431	6501	8548
432	6522	8540
433	6535	8523
434	6548	8505
435	6565	8492
436	6583	8482
437	6604	8474
438	6626	8467
439	6651	8466
440	6667	8451
441	6686	8441
442	6699	8423
443	6720	8415
444	6733	8398
445	6749	8383
446	6763	8367
447	6775	8348
448	6786	8328
449	6798	8309
450	6811	8291
451	6821	8270
452	6833	8252
453	6847	8234
454	6860	8217
455	6872	8198
456	6893	8190
457	6913	8181
458	6927	8165
459	6945	8153
460	6960	8137
461	6972	8119
462	6983	8099
463	6997	8083
464	7013	8069
465	7027	8052
466	7043	8039
467	7057	8022
468	7066	8001
469	7077	7981
470	7094	7968
471	7111	7955
472	7124	7937
473	7136	7919
474	7150	7902
475	7169	7892
476	7182	7875
477	7193	7856
478	7204	7836
479	7216	7817
480	7232	7804
481	7250	7792
482	7264	7776
483	7276	7757
484	7290	7741
485	7300	7721
486	7312	7702
487	7324	7685
488	7336	7666
489	7358	7658
490	7385	7656
491	7404	7645
492	7415	7626
493	7432	7613
494	7449	7599
495	7461	7581
496	7474	7565
497	7487	7547
498	7497	7527
499	7508	7508
500	7521	7491
501	7533	7473
502	7551	7460
503	7596	7476
504	7606	7455
505	7619	7438
506	7632	7422
507	7644	7403
508	7658	7387
509	7677	7376
510	7690	7359
511	7702	7341
512	7713	7322
513	7725	7304
514	7737	7287
515	7751	7271
516	7765	7255
517	7777	7236
518	7786	7216
519	7798	7198
520	7823	7193
521	7837	7176
522	7855	7164
523	7875	7154
524	7889	7138
525	7900	7119
526	7910	7100
527	7923	7083
528	7935	7065
529	7955	7054
530	7969	7039
531	7983	7022
532	8007	7015
533	8023	7002
534	8037	6985
535	8049	6968
536	8064	6953
537	8077	6936
538	8090	6919
539	8102	6901
540	8113	6884
541	8126	6867
542	8139	6849
543	8154	6835
544	8167	6818
545	8178	6800
546	8189	6781
547	8201	6764
548	8213	6747
549	8226	6730
550	8243	6717
551	8269	6711
552	8288	6700
553	8310	6690
554	8321	6671
555	8331	6653
556	8342	6635
557	8353	6616
558	8367	6601
559	8383	6587
560	8400	6573
561	8418	6560
562	8443	6553
563	8461	6540
564	8472	6522
565	8482	6504
566	8586	6557
567	8629	6563
568	8689	6581
569	8709	6570
570	8729	6558
571	8748	6546
572	8762	6529
573	8773	6511
574	8785	6493
575	8797	6476
576	8809	6457
577	8821	6440
578	8835	6424
579	8847	6406
580	8862	6391
581	8873	6373
582	8895	6362
583	8907	6345
584	8916	6325
585	8931	6309
586	8942	6291
587	8958	6276
588	8969	6258
589	8980	6240
590	8991	6222
591	9002	6204
592	9015	6187
593	9028	6171
594	9041	6154
595	9053	6136
596	9064	6118
597	9076	6101
598	9089	6084
599	9110	6073
600	9126	6058
601	9145	6046
602	9167	6035
603	9185	6022
604	9196	6004
605	9208	5987
606	9224	5972
607	9235	5954
608	9249	5938
609	9260	5920
610	9270	5902
611	9280	5883
612	9291	5866
613	9303	5848
614	9315	5831
615	9326	5814
616	9345	5800
617	9357	5783
618	9368	5766
619	9380	5749
620	9393	5733
621	9407	5716
622	9419	5699
623	9430	5682
624	9439	5663
625	9452	5647
626	9461	5628
627	9473	5611
628	9485	5594
629	9497	5578
630	9511	5562
631	9524	5545
632	9538	5529
633	9549	5513
634	9562	5496
635	9572	5478
636	9596	5468
637	9612	5454
638	9642	5447
639	9655	5431
640	9671	5416
641	9684	5400
642	9700	5385
643	9714	5370
644	9723	5351
645	9732	5333
646	9742	5315
647	9762	5303
648	9778	5288
649	9798	5275
650	9810	5259
651	9821	5242
652	9833	5225
653	9845	5208
654	9856	5191
655	9871	5176
656	9883	5160
657	9898	5144
658	9908	5127
659	9918	5109
660	9932	5093
661	9942	5076
662	9951	5058
663	9960	5040
664	9971	5023
665	9980	5005
666	9991	4988
667	10001	4970
668	10011	4953
669	10020	4935
670	10034	4920
671	10049	4904
672	10063	4889
673	10077	4874
674	10094	4860
675	10104	4843
676	10114	4825
677	10124	4808
678	10133	4790
679	10144	4773
680	10159	4759
681	10169	4741
682	10178	4724
683	10188	4707
684	10199	4690
685	10208	4672
686	10217	4655
687	10228	4638
688	10239	4621
689	10256	4607
690	10266	4591
691	10276	4573
692	10285	4556
693	10297	4540
694	10309	4524
695	10324	4509
696	10337	4493
697	10348	4477
698	10358	4460
699	10371	4444
700	10384	4429
701	10397	4413
702	10409	4397
703	10419	4380
704	10431	4364
705	10438	4346
706	10449	4330
707	10462	4314
708	10473	4298
709	10493	4286
710	10508	4271
711	10525	4257
712	10540	4242
713	10553	4227
714	10563	4210
715	10574	4194
716	10585	4178
717	10595	4161
718	10605	4144
719	10615	4128
720	10626	4111
721	10636	4095
722	10645	4078
723	10656	4062
724	10666	4045
725	10675	4029
726	10687	4013
727	10697	3996
728	10708	3980
729	10729	3968
730	10739	3952
731	10749	3935
732	10760	3919
733	10770	3903
734	10781	3887
735	10790	3870
736	10802	3854
737	10813	3838
738	10833	3826
739	10846	3810
740	10856	3794
741	10868	3779
742	10878	3762
743	10888	3746
744	10899	3730
745	10910	3714
746	10933	3703
747	10944	3687
748	10958	3672
749	10978	3659
750	10991	3644
751	11005	3629
752	11022	3615
753	11032	3599
754	11042	3583
755	11053	3567
756	11065	3551
757	11075	3535
758	11085	3519
759	11094	3503
760	11105	3487
761	11115	3471
762	11125	3455
763	11134	3439
764	11144	3423
765	11160	3409
766	11173	3394
767	11186	3379
768	11199	3364
769	11212	3349
770	11224	3333
771	11235	3318
772	11244	3302
773	11255	3286
774	11266	3271
775	11277	3255
776	11289	3240
777	11300	3224
778	11311	3209
779	11321	3193
780	11331	3177
781	11342	3162
782	11351	3146
783	11362	3130
784	11372	3114
785	11382	3099
786	11392	3083
787	11407	3068
788	11421	3054
789	11437	3040
790	11452	3025
791	11466	3011
792	11476	2995
793	11486	2980
794	11496	2964
795	11506	2948
796	11516	2933
797	11527	2917
798	11537	2902
799	11552	2888
800	11565	2873
801	11575	2857
802	11589	2843
803	11600	2828
804	11610	2812
805	11620	2796
806	11629	2781
807	11639	2765
808	11650	2750
809	11658	2734
810	11669	2719
811	11681	2704
812	11690	2689
813	11700	2673
814	11714	2659
815	11723	2643
816	11732	2627
817	11739	2611
818	11749	2596
819	11763	2582
820	11773	2566
821	11785	2552
822	11795	2536
823	11806	2521
824	11816	2506
825	11830	2492
826	11845	2478
827	11857	2463
828	11871	2448
829	11884	2434
830	11904	2421
831	11915	2406
832	11927	2391
833	11937	2376
834	11947	2360
835	11956	2345
836	11967	2330
837	11976	2315
838	11986	2300
839	11995	2284
840	12007	2270
841	12018	2255
842	12031	2240
843	12045	2226
844	12055	2211
845	12065	2196
846	12075	2181
847	12083	2165
848	12094	2151
849	12103	2135
850	12112	2120
851	12123	2106
852	12134	2091
853	12146	2076
854	12156	2061
855	12167	2046
856	12179	2032
857	12189	2017
858	12201	2002
859	12213	1988
860	12226	1973
861	12237	1959
862	12250	1944
863	12263	1930
864	12275	1915
865	12289	1901
866	12307	1887
867	12323	1874
868	12336	1859
869	12351	1845
870	12364	1831
871	12374	1816
872	12383	1801
873	12394	1786
874	12404	1772
875	12414	1757
876	12424	1742
877	12433	1727
878	12442	1712
879	12451	1697
880	12461	1683
881	12471	1668
882	12489	1654
883	12500	1640
884	12510	1625
885	12520	1610
886	12530	1596
887	12540	1581
888	12550	1567
889	12560	1552
890	12569	1537
891	12580	1523
892	12590	1508
893	12600	1494
894	12610	1479
895	12623	1465
896	12633	1450
897	12643	1436
898	12653	1421
899	12663	1407
900	12672	1392
901	12682	1377
902	12691	1363
903	12701	1348
904	12715	1334
905	12729	1320
906	12743	1306
907	12756	1292
908	12768	1278
909	12778	1263
910	12791	1249
911	12800	1235
912	12810	1220
913	12820	1206
914	12830	1191
915	12841	1177
916	12850	1163
917	12860	1148
918	12870	1134
919	12880	1120
920	12889	1105
921	12901	1091
922	12911	1077
923	12925	1063
924	12934	1048
925	12947	1034
926	12957	1020
927	12968	1006
928	12980	992
929	12993	977
930	13003	963
931	13013	949
932	13023	935
933	13033	921
934	13040	906
935	13049	892
936	13059	878
937	13069	863
938	13079	849
939	13088	835
940	13098	821
941	13107	807
942	13117	792
943	13128	778
944	13137	764
945	13148	750
946	13164	736
947	13178	722
948	13192	708
949	13207	695
950	13220	681
951	13233	667
952	13243	653
953	13252	639
954	13262	624
955	13272	610
956	13282	596
957	13292	582
958	13301	568
959	13312	554
960	13324	540
961	13333	526
962	13343	512
963	13355	498
964	13367	484
965	13377	470
966	13386	456
967	13395	442
968	13403	428
969	13412	414
970	13421	400
971	13429	386
972	13440	372
973	13450	359
974	13463	345
975	13473	331
976	13482	317
977	13495	303
978	13508	289
979	13521	275
980	13529	262
981	13539	248
982	13548	234
983	13557	220
984	13566	206
985	13575	192
986	13584	178
987	13594	165
988	13608	151
989	13620	137
990	13632	123
991	13649	110
992	13662	96
993	13675	82
994	13683	68
995	13694	54
996	13703	41
997	13715	27
998	13724	13
999	13735	0
